method_id,scope_type,scope_value,applicability_status,row_count,applicable_count,valid_count
TANGENT_PROFILE_SAFE,ALL,ALL,APPLICABLE,72,72,72
TANGENT_PROFILE_SAFE,PROFILE,P1,APPLICABLE,18,18,18
TANGENT_PROFILE_SAFE,PROFILE,P2,APPLICABLE,18,18,18
TANGENT_PROFILE_SAFE,PROFILE,P3,APPLICABLE,18,18,18
TANGENT_PROFILE_SAFE,PROFILE,P4,APPLICABLE,18,18,18
TANGENT_PROFILE_SAFE,NOISE,WHITE,APPLICABLE,36,36,36
TANGENT_PROFILE_SAFE,NOISE,STAGE5_TOEPLITZ_CORRELATED,APPLICABLE,36,36,36
FULL4D_BEAMSPACE_CML_MULTISTART,ALL,ALL,APPLICABLE,72,72,72
FULL4D_BEAMSPACE_CML_MULTISTART,PROFILE,P1,APPLICABLE,18,18,18
FULL4D_BEAMSPACE_CML_MULTISTART,PROFILE,P2,APPLICABLE,18,18,18
FULL4D_BEAMSPACE_CML_MULTISTART,PROFILE,P3,APPLICABLE,18,18,18
FULL4D_BEAMSPACE_CML_MULTISTART,PROFILE,P4,APPLICABLE,18,18,18
FULL4D_BEAMSPACE_CML_MULTISTART,NOISE,WHITE,APPLICABLE,36,36,36
FULL4D_BEAMSPACE_CML_MULTISTART,NOISE,STAGE5_TOEPLITZ_CORRELATED,APPLICABLE,36,36,36
FULL4D_ELEMENT_CML_MULTISTART,ALL,ALL,APPLICABLE,24,24,24
FULL4D_ELEMENT_CML_MULTISTART,PROFILE,P1,APPLICABLE,6,6,6
FULL4D_ELEMENT_CML_MULTISTART,PROFILE,P2,APPLICABLE,6,6,6
FULL4D_ELEMENT_CML_MULTISTART,PROFILE,P3,APPLICABLE,6,6,6
FULL4D_ELEMENT_CML_MULTISTART,PROFILE,P4,APPLICABLE,6,6,6
FULL4D_ELEMENT_CML_MULTISTART,NOISE,WHITE,APPLICABLE,12,12,12
FULL4D_ELEMENT_CML_MULTISTART,NOISE,STAGE5_TOEPLITZ_CORRELATED,APPLICABLE,12,12,12
BEAMSPACE_MUSIC_K2,ALL,ALL,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,24,0,0
BEAMSPACE_MUSIC_K2,ALL,ALL,APPLICABLE,48,48,0
BEAMSPACE_MUSIC_K2,PROFILE,P1,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,6,0,0
BEAMSPACE_MUSIC_K2,PROFILE,P1,APPLICABLE,12,12,0
