scope_type,scope_value,N,classification,claim_authorized,tangent_valid_count,anchored_valid_count,median_joint_tangent,median_joint_anchored,p90_joint_tangent,p90_joint_anchored,median_center_tangent,median_center_anchored,median_axis_tangent,median_axis_anchored,median_rho_tangent,median_rho_anchored,median_vector_tangent,median_vector_anchored,wins,ties,losses,raw_candidate_valid_count,raw_candidate_valid_rate,upgrade_count,fallback_count,fallback_rate,median_b_parallel_abs,median_b_perp,median_alpha_correction_error_normalized,median_anchor_valid_ratio,median_conditional_invalid_ratio,median_q2_nonconcave_ratio,median_rho_out_of_contract_ratio,median_kappa_rho_selected,analysis_only_flag,fitting_rerun,new_trial_count,new_seed_count
PROFILE,P1,18,MEDIAN_GAIN_BUT_TAIL_UNSTABLE,1,18,18,0.0980031637599268,0.0660984440932298,0.150765604015775,0.147637546791677,0.00944479281641357,0.0308995407604842,1.75233202850191,1.75233202850223,0.0986315512015677,0.0473600196161592,0.122916265757685,0.0551372979531804,7,4,7,16,0.888888888888889,13,5,0.277777777777778,0.0205649902819216,0.0271879677650467,0.105072562348334,0.315384615384615,0.684615384615385,0,0.2,0.000333909177299889,1,0,0,0
PROFILE,P2,18,MEDIAN_GAIN_BUT_TAIL_UNSTABLE,1,18,18,0.111420879696067,0.105770856521755,0.221167974364494,0.414144967116639,0.0621163631950679,0.0930670767505485,8.79544453386212,7.54927365821488,0.160092825823576,0.121945758774037,0.18849239648184,0.137595314262148,6,0,12,18,1,16,2,0.111111111111111,0.295622451756388,0.0529172385745425,0.467917876155297,0.2,0.8,0,0.4,3.66799942574731e-05,1,0,0,0
PROFILE,P3,18,SEPARATION_STRUCTURE_ONLY,1,18,18,0.0750349434885263,0.0851670287010307,0.101362398576705,0.225052918923805,0.0186428299818438,0.0639101210327554,2.17254803026372,2.30124561190541,0.145415569877759,0.110833198893431,0.148942113404092,0.113978240748143,5,1,12,15,0.833333333333333,15,3,0.166666666666667,0.118787883766955,0.0389524861211469,0.293165549472551,0.230769230769231,0.769230769230769,0,0.376923076923077,1.87319973273706e-05,1,0,0,0
PROFILE,P4,18,NOT_SUPPORTED,1,18,18,0.113064045082472,0.19382870306074,0.287226635156725,0.347668630837298,0.0486440681079904,0.111803398874989,16.9475192689399,18.4349488229221,0.099,0.139482936062183,0.0992247720461717,0.200188124781388,5,3,10,15,0.833333333333333,12,6,0.333333333333333,0.428222940432464,0.108835126268895,0.87791291269407,0.184615384615385,0.815384615384615,0,0.146153846153846,8.47387813734103e-06,1,0,0,0
L,1,24,SEPARATION_STRUCTURE_ONLY,1,24,24,0.124151075396537,0.151666388442239,0.209680650638421,0.386950247706446,0.0495522801873427,0.0999999999999996,11.8947182144379,16.1698156338118,0.148926195308425,0.147101406781473,0.194364148363278,0.185306952558131,5,8,11,19,0.791666666666667,12,12,0.5,0.269592691537409,0.105912493743876,0.53059292815555,0.192307692307692,0.807692307692308,0,0.253846153846154,3.57004451524655e-05,1,0,0,0
L,4,24,MEDIAN_GAIN_BUT_TAIL_UNSTABLE,1,24,24,0.0925940030024575,0.0899860152204336,0.192163284180226,0.219300643052733,0.0299474340144124,0.0665950137563746,2.93894538538107,2.37218824177088,0.148999999999997,0.10720890228853,0.149011013318719,0.107627604905165,9,0,15,21,0.875,20,4,0.166666666666667,0.163789077008781,0.0443884949464787,0.288164851179316,0.230769230769231,0.769230769230769,0,0.276923076923077,5.95376875866126e-05,1,0,0,0
L,8,24,SEPARATION_STRUCTURE_ONLY,1,24,24,0.0701089604186677,0.0795766706717966,0.145639399400643,0.231460756254553,0.0253816103834609,0.0576530082207243,2.69571040543256,3.0383429415536,0.0974537451006645,0.0794757457642991,0.0984949338599008,0.088326152632377,9,0,15,24,1,24,0,0,0.14482345852287,0.0382018474020554,0.319727330610094,0.238461538461538,0.761538461538461,0,0.184615384615385,3.05362300458962e-05,1,0,0,0
SNR,-6,24,SEPARATION_STRUCTURE_ONLY,1,24,24,0.113570282616239,0.158179181209447,0.197116430816897,0.370615475897218,0.05211643822915,0.110268389594417,9.98355960911783,10.3144843256596,0.14897495970658,0.0993950151637263,0.150261728879109,0.111659737020341,6,4,14,19,0.791666666666667,17,7,0.291666666666667,0.197929272879814,0.0984110702705397,0.542884372067883,0.1,0.9,0,0.376923076923077,5.50393238669185e-05,1,0,0,0
SNR,0,24,SEPARATION_STRUCTURE_ONLY,1,24,24,0.0846069824562869,0.0995136384922181,0.209229490336527,0.217611949154319,0.0275943693932727,0.0405107735875845,3.56841127338553,3.56841127338496,0.144651014487443,0.116712393810588,0.148421877559375,0.124190020878016,11,2,11,23,0.958333333333333,21,3,0.125,0.220205580309024,0.0607671667178183,0.215145862933151,0.253846153846154,0.746153846153846,0,0.184615384615385,4.76181558179529e-05,1,0,0,0
SNR,6,24,NOT_SUPPORTED,1,24,24,0.0747429183782889,0.0880293805981186,0.134518746810438,0.203100822395943,0.0229711494796783,0.049324609606416,2.56346403554521,2.62297566051631,0.0946065966939462,0.102265727578472,0.0990016503358098,0.120290571334073,6,2,16,22,0.916666666666667,18,6,0.25,0.165071327052583,0.0248114697254224,0.286291050472178,0.269230769230769,0.730769230769231,0,0.253846153846154,2.20682718167394e-05,1,0,0,0
NOISE,WHITE,36,SEPARATION_STRUCTURE_ONLY,1,36,36,0.0925940030024575,0.106917085403886,0.193744798772947,0.271266719302101,0.0367726580806412,0.0585037285777471,4.2842942663316,3.16212457620847,0.145464334275913,0.105998240731826,0.149000039598146,0.122920060192386,10,6,20,30,0.833333333333333,25,11,0.305555555555556,0.180543964437934,0.0658216857651499,0.251655357056234,0.184615384615385,0.815384615384615,0,0.376923076923077,2.56297223405286e-05,1,0,0,0
NOISE,STAGE5_TOEPLITZ_CORRELATED,36,NOT_SUPPORTED,1,36,36,0.0860094425342796,0.118775034743688,0.161361522915159,0.232449625484087,0.0309484667960681,0.074478356396404,3.23328707937276,3.56379381934476,0.0990000000000002,0.103476389135176,0.148373523625519,0.113978240748143,13,2,21,34,0.944444444444444,31,5,0.138888888888889,0.220306696577689,0.0476986500512267,0.389311246995191,0.246153846153846,0.753846153846154,0,0.169230769230769,5.72885057267655e-05,1,0,0,0
PROFILE_X_L,P1|L=1,6,DESCRIPTIVE_ONLY,0,6,6,0.137262010400027,0.137262010400027,0.141681308325435,0.141681308325435,0.011443590272985,0.0075627844656446,0.74471291115012,0,0.123686680211528,0.11883942458459,0.182683653152691,0.201949776134267,1,4,1,4,0.666666666666667,1,5,0.833333333333333,0.0298318987347531,0.0559262697202008,0.113702516913848,0.153846153846154,0.846153846153846,0,0.346153846153846,0.000855084564245009,1,0,0,0
PROFILE_X_L,P1|L=4,6,DESCRIPTIVE_ONLY,0,6,6,0.0980031637599268,0.047160759167929,0.159161597473798,0.153790415219782,0.0122780983729634,0.0349079158116842,2.2295728912815,2.22957289128168,0.185783744577727,0.0473600196161592,0.186044625954121,0.0551372979531804,4,0,2,6,1,6,0,0,0.0205649902819216,0.0370681203747538,0.0879599888070322,0.215384615384615,0.784615384615385,0,0.269230769230769,0.000247524339130979,1,0,0,0
PROFILE_X_L,P1|L=8,6,DESCRIPTIVE_ONLY,0,6,6,0.0165104543177806,0.0522667682152657,0.101554765677888,0.108080401504216,0.00749613668498609,0.0402400261514645,2.28795072890725,2.28795072890746,0.0187539197681299,0.0339434840478752,0.0221290594354031,0.0368656399084761,2,0,4,6,1,6,0,0,0.013341491663005,0.0111003505668263,0.130419280255131,0.346153846153846,0.653846153846154,0,0.0923076923076923,0.000329103561140603,1,0,0,0
